team,gameweek,n_news,avg_grade,n_relevant
Alanyaspor,2025-W29,2,0.0,0
Alanyaspor,2025-W31,1,0.0,0
Alanyaspor,2025-W36,1,0.0,0
Alanyaspor,2025-W37,1,0.0,0
Alanyaspor,2025-W38,5,0.5625,4
Alanyaspor,2025-W39,6,0.25,2
Alanyaspor,2025-W42,1,0.0,0
Alanyaspor,2025-W43,4,0.75,1
Alanyaspor,2025-W44,1,1.0,1
Alanyaspor,2025-W45,2,0.5,2
Alanyaspor,2025-W48,1,0.5,1
Alanyaspor,2025-W49,1,0.0,0
Alanyaspor,2025-W51,5,0.95,5
Alanyaspor,2025-W52,5,0.25,2
Alanyaspor,2026-W03,3,0.75,2
Alanyaspor,2026-W04,4,0.6875,4
Alanyaspor,2026-W05,10,0.675,10
Alanyaspor,2026-W06,6,0.65,5
Alanyaspor,2026-W07,4,0.9167,3
Alanyaspor,2026-W08,3,0.75,2
Alanyaspor,2026-W09,3,0.0,0
Alanyaspor,2026-W10,3,0.75,3
Alanyaspor,2026-W11,2,0.25,2
Alanyaspor,2026-W12,3,0.75,1
Alanyaspor,2026-W15,8,0.5,1
Alanyaspor,2026-W16,8,0.875,6
Alanyaspor,2026-W17,3,0.9167,3
Antalyaspor,2025-W27,1,1.0,1
Antalyaspor,2025-W32,2,1.0,2
Antalyaspor,2025-W35,1,0.75,1
Antalyaspor,2025-W37,3,0.875,2
Antalyaspor,2025-W39,2,0.5,2
Antalyaspor,2025-W40,16,0.9038,13
Antalyaspor,2025-W41,40,0.85,35
Antalyaspor,2025-W42,5,0.5,2
Antalyaspor,2025-W43,2,0.0,0
Antalyaspor,2025-W44,1,0.5,1
Antalyaspor,2025-W45,3,0.6667,3
Antalyaspor,2025-W48,5,0.5,5
Antalyaspor,2025-W49,1,0.75,1
Antalyaspor,2025-W50,6,0.5625,4
Antalyaspor,2025-W51,30,0.5917,30
Antalyaspor,2025-W52,2,0.625,2
Antalyaspor,2026-W01,17,0.2083,6
Antalyaspor,2026-W02,2,0.0,2
Antalyaspor,2026-W03,3,0.0,0
Antalyaspor,2026-W04,1,1.0,1
Antalyaspor,2026-W05,1,1.0,1
Antalyaspor,2026-W06,2,0.25,2
Antalyaspor,2026-W07,8,0.9167,3
Antalyaspor,2026-W08,1,0.0,0
Antalyaspor,2026-W09,4,0.75,3
Antalyaspor,2026-W10,4,0.5,2
Antalyaspor,2026-W11,1,0.75,1
Antalyaspor,2026-W12,2,0.0,0
Antalyaspor,2026-W13,1,0.0,1
Antalyaspor,2026-W14,1,1.0,1
Antalyaspor,2026-W15,4,0.0,0
Antalyaspor,2026-W16,3,0.0,0
Besiktas,2025-W28,2,1.0,1
Besiktas,2025-W30,2,0.5,1
Besiktas,2025-W31,10,0.525,10
Besiktas,2025-W32,5,0.625,2
Besiktas,2025-W33,1,0.0,0
Besiktas,2025-W34,1,0.0,0
Besiktas,2025-W35,42,0.6176,17
Besiktas,2025-W36,4,0.875,2
Besiktas,2025-W37,6,0.5,5
Besiktas,2025-W38,2,0.0,0
Besiktas,2025-W40,4,0.75,2
Besiktas,2025-W41,3,1.0,2
Besiktas,2025-W42,1,1.0,1
Besiktas,2025-W43,2,0.0,1
Besiktas,2025-W44,3,0.8333,3
Besiktas,2025-W45,1,0.75,1
Besiktas,2025-W46,4,0.3333,3
Besiktas,2025-W47,11,0.775,10
Besiktas,2025-W48,2,0.5,2
Besiktas,2025-W49,5,0.85,5
Besiktas,2025-W50,12,0.8333,12
Besiktas,2025-W51,1,1.0,1
Besiktas,2025-W52,11,0.5,9
Besiktas,2026-W01,3,1.0,2
Besiktas,2026-W02,6,0.875,2
Besiktas,2026-W03,2,0.0,0
Besiktas,2026-W04,2,0.0,0
Besiktas,2026-W05,9,0.8333,9
Besiktas,2026-W06,1,1.0,1
Besiktas,2026-W07,2,0.875,2
Besiktas,2026-W09,1,0.0,0
Besiktas,2026-W10,1,0.0,1
Besiktas,2026-W12,2,0.0,0
Besiktas,2026-W13,1,0.75,1
Besiktas,2026-W14,1,0.0,0
Besiktas,2026-W15,1,1.0,1
Besiktas,2026-W16,6,0.4,5
Besiktas,2026-W17,12,0.7,10
Buyuksehyr,2025-W29,1,0.0,0
Buyuksehyr,2025-W32,1,0.0,0
Buyuksehyr,2025-W33,1,0.0,0
Buyuksehyr,2025-W34,2,0.0,0
Buyuksehyr,2025-W35,2,0.0,0
Buyuksehyr,2025-W37,30,0.6125,20
Buyuksehyr,2025-W38,11,0.75,4
Buyuksehyr,2025-W39,1,0.0,0
Buyuksehyr,2025-W41,4,0.0,3
Buyuksehyr,2025-W42,1,0.75,1
Buyuksehyr,2025-W43,3,0.875,2
Buyuksehyr,2025-W44,2,0.0,0
Buyuksehyr,2025-W45,4,0.5,4
Buyuksehyr,2025-W48,3,0.25,2
Buyuksehyr,2025-W49,4,0.5625,4
Buyuksehyr,2025-W50,3,1.0,3
Buyuksehyr,2025-W51,9,0.9167,9
Buyuksehyr,2025-W52,1,1.0,1
Buyuksehyr,2026-W03,1,0.0,0
Buyuksehyr,2026-W05,1,0.75,1
Buyuksehyr,2026-W06,6,0.95,5
Buyuksehyr,2026-W07,5,0.75,3
Buyuksehyr,2026-W08,6,0.5833,3
Buyuksehyr,2026-W09,3,1.0,1
Buyuksehyr,2026-W10,2,1.0,1
Buyuksehyr,2026-W11,2,0.75,1
Buyuksehyr,2026-W14,3,1.0,1
Buyuksehyr,2026-W15,4,1.0,1
Buyuksehyr,2026-W16,7,0.0,1
Buyuksehyr,2026-W17,2,0.0,1
Eyupspor,2025-W28,1,0.75,1
Eyupspor,2025-W29,1,0.0,0
Eyupspor,2025-W33,1,0.25,1
Eyupspor,2025-W34,1,0.0,0
Eyupspor,2025-W38,2,1.0,2
Eyupspor,2025-W40,21,0.8929,21
Eyupspor,2025-W41,12,0.15,10
Eyupspor,2025-W42,28,0.0,1
Eyupspor,2025-W43,3,0.0,0
Eyupspor,2025-W47,1,0.0,0
Eyupspor,2025-W51,2,0.0,0
Eyupspor,2025-W52,1,1.0,1
Eyupspor,2026-W01,13,0.9231,13
Eyupspor,2026-W02,4,0.9375,4
Eyupspor,2026-W03,13,0.0625,4
Eyupspor,2026-W04,3,0.875,2
Eyupspor,2026-W05,4,0.875,2
Eyupspor,2026-W06,1,0.0,0
Eyupspor,2026-W07,3,0.5,2
Eyupspor,2026-W08,2,0.0,1
Eyupspor,2026-W09,3,0.875,2
Eyupspor,2026-W11,1,0.5,1
Eyupspor,2026-W12,1,0.75,1
Eyupspor,2026-W14,1,0.0,0
Eyupspor,2026-W16,2,0.625,2
Fenerbahce,2025-W28,1,0.0,1
Fenerbahce,2025-W29,1,0.0,0
Fenerbahce,2025-W32,2,0.25,1
Fenerbahce,2025-W33,2,0.0,0
Fenerbahce,2025-W34,5,0.625,4
Fenerbahce,2025-W35,55,0.6824,37
Fenerbahce,2025-W36,14,0.25,13
Fenerbahce,2025-W37,36,0.4896,24
Fenerbahce,2025-W38,21,0.5781,16
Fenerbahce,2025-W39,12,0.5455,11
Fenerbahce,2025-W40,6,0.625,2
Fenerbahce,2025-W41,4,0.9167,3
Fenerbahce,2025-W42,1,0.0,1
Fenerbahce,2025-W43,1,0.75,1
Fenerbahce,2025-W44,1,0.0,0
Fenerbahce,2025-W45,1,1.0,1
Fenerbahce,2025-W46,3,0.9167,3
Fenerbahce,2025-W47,1,0.0,0
Fenerbahce,2025-W48,4,0.375,2
Fenerbahce,2025-W49,2,0.375,2
Fenerbahce,2025-W50,5,0.75,3
Fenerbahce,2025-W51,3,0.625,2
Fenerbahce,2025-W52,2,0.0,0
Fenerbahce,2026-W01,2,0.375,2
Fenerbahce,2026-W02,1,0.0,0
Fenerbahce,2026-W03,3,0.875,2
Fenerbahce,2026-W04,5,0.4375,4
Fenerbahce,2026-W05,4,0.6667,3
Fenerbahce,2026-W06,2,0.0,1
Fenerbahce,2026-W07,5,0.65,5
Fenerbahce,2026-W08,5,0.25,4
Fenerbahce,2026-W10,9,0.9062,8
Fenerbahce,2026-W11,23,0.7976,21
Fenerbahce,2026-W12,5,0.6,5
Fenerbahce,2026-W15,3,0.75,1
Fenerbahce,2026-W16,21,0.4643,14
Fenerbahce,2026-W17,5,0.8333,3
Galatasaray,2025-W30,1,0.0,0
Galatasaray,2025-W31,1,0.0,0
Galatasaray,2025-W32,1,0.0,0
Galatasaray,2025-W35,1,0.5,1
Galatasaray,2025-W37,1,0.5,1
Galatasaray,2025-W38,3,0.9167,3
Galatasaray,2025-W39,1,0.0,0
Galatasaray,2025-W40,4,0.375,4
Galatasaray,2025-W42,4,0.5,3
Galatasaray,2025-W43,2,0.0,0
Galatasaray,2025-W44,4,0.875,4
Galatasaray,2025-W45,6,0.9375,4
Galatasaray,2025-W46,3,1.0,1
Galatasaray,2025-W47,2,1.0,1
Galatasaray,2025-W48,2,0.75,2
Galatasaray,2025-W49,2,0.875,2
Galatasaray,2025-W50,3,0.25,2
Galatasaray,2025-W51,3,0.0,0
Galatasaray,2025-W52,5,0.6667,3
Galatasaray,2026-W01,1,1.0,1
Galatasaray,2026-W02,4,0.25,2
Galatasaray,2026-W03,5,0.9167,3
Galatasaray,2026-W04,4,0.75,2
Galatasaray,2026-W05,3,0.5,1
Galatasaray,2026-W06,4,0.75,2
Galatasaray,2026-W07,11,1.0,1
Galatasaray,2026-W08,4,0.5,2
Galatasaray,2026-W09,4,0.6667,3
Galatasaray,2026-W10,2,1.0,1
Galatasaray,2026-W11,6,0.0,2
Galatasaray,2026-W12,11,0.3125,4
Galatasaray,2026-W14,3,0.75,1
Galatasaray,2026-W15,1,0.5,1
Galatasaray,2026-W16,27,0.7639,18
Galatasaray,2026-W17,11,0.5312,8
Gaziantep,2025-W27,1,1.0,1
Gaziantep,2025-W34,5,0.0,0
Gaziantep,2025-W41,2,0.75,1
Gaziantep,2025-W45,2,0.0,1
Gaziantep,2025-W50,5,1.0,5
Gaziantep,2025-W51,32,0.8333,24
Gaziantep,2025-W52,4,0.25,2
Gaziantep,2026-W02,1,1.0,1
Gaziantep,2026-W03,1,0.5,1
Gaziantep,2026-W06,7,0.4375,4
Gaziantep,2026-W07,2,0.75,1
Gaziantep,2026-W08,1,1.0,1
Gaziantep,2026-W09,1,0.5,1
Gaziantep,2026-W10,10,0.7222,9
Gaziantep,2026-W11,3,0.6667,3
Gaziantep,2026-W12,2,0.5,2
Gaziantep,2026-W14,1,0.0,0
Gaziantep,2026-W16,95,0.8735,83
Gaziantep,2026-W17,14,0.2308,13
Genclerbirligi,2025-W35,3,0.5,2
Genclerbirligi,2025-W37,1,1.0,1
Genclerbirligi,2025-W44,12,0.875,6
Genclerbirligi,2025-W45,2,0.0,0
Genclerbirligi,2025-W46,1,1.0,1
Genclerbirligi,2025-W47,1,1.0,1
Genclerbirligi,2025-W48,1,0.0,0
Genclerbirligi,2025-W49,59,0.9956,57
Genclerbirligi,2025-W50,14,0.8846,13
Genclerbirligi,2025-W51,9,0.0,1
Genclerbirligi,2026-W02,2,0.0,0
Genclerbirligi,2026-W05,2,0.0,0
Genclerbirligi,2026-W06,1,0.75,1
Genclerbirligi,2026-W07,10,0.9375,8
Genclerbirligi,2026-W08,18,0.3125,8
Genclerbirligi,2026-W09,1,0.75,1
Genclerbirligi,2026-W10,25,0.8158,19
Genclerbirligi,2026-W11,1,0.5,1
Genclerbirligi,2026-W12,2,0.5,1
Genclerbirligi,2026-W14,4,0.75,1
Genclerbirligi,2026-W15,5,0.5,2
Genclerbirligi,2026-W16,23,0.7344,16
Genclerbirligi,2026-W17,1,0.0,0
Goztep,2025-W27,3,0.0,0
Goztep,2025-W29,1,0.5,1
Goztep,2025-W32,1,0.5,1
Goztep,2025-W34,1,0.0,0
Goztep,2025-W38,3,0.0,0
Goztep,2025-W39,3,0.5,3
Goztep,2025-W41,2,0.0,0
Goztep,2025-W42,4,0.0,0
Goztep,2025-W43,3,0.5,1
Goztep,2025-W44,2,0.5,1
Goztep,2025-W45,3,0.75,1
Goztep,2025-W47,1,0.5,1
Goztep,2025-W48,1,0.0,0
Goztep,2025-W49,1,1.0,1
Goztep,2025-W50,2,1.0,2
Goztep,2025-W51,8,1.0,6
Goztep,2025-W52,1,1.0,1
Goztep,2026-W02,1,0.0,1
Goztep,2026-W04,6,0.5,1
Goztep,2026-W05,6,0.375,4
Goztep,2026-W06,1,0.0,0
Goztep,2026-W07,3,0.5,1
Goztep,2026-W08,6,0.5,5
Goztep,2026-W09,8,0.45,5
Goztep,2026-W10,3,0.5,2
Goztep,2026-W11,1,0.0,0
Goztep,2026-W14,2,0.25,2
Goztep,2026-W15,5,0.25,2
Goztep,2026-W16,3,0.625,2
Karagumruk,2025-W27,6,0.0,1
Karagumruk,2025-W30,1,0.0,0
Karagumruk,2025-W33,3,0.0,0
Karagumruk,2025-W34,3,0.0,0
Karagumruk,2025-W38,2,0.5,1
Karagumruk,2025-W39,2,0.375,2
Karagumruk,2025-W40,1,0.75,1
Karagumruk,2025-W42,3,0.0,0
Karagumruk,2025-W43,1,0.5,1
Karagumruk,2025-W44,21,0.7667,15
Karagumruk,2025-W45,4,0.75,2
Karagumruk,2025-W49,5,1.0,4
Karagumruk,2025-W50,3,1.0,2
Karagumruk,2025-W51,1,1.0,1
Karagumruk,2025-W52,1,1.0,1
Karagumruk,2026-W01,18,0.0,8
Karagumruk,2026-W04,2,0.0,1
Karagumruk,2026-W05,2,0.5,2
Karagumruk,2026-W06,1,0.5,1
Karagumruk,2026-W07,1,1.0,1
Karagumruk,2026-W08,1,0.75,1
Karagumruk,2026-W09,3,0.25,2
Karagumruk,2026-W10,3,0.875,2
Karagumruk,2026-W11,3,1.0,1
Karagumruk,2026-W12,3,0.75,1
Karagumruk,2026-W14,1,0.0,0
Karagumruk,2026-W15,1,1.0,1
Karagumruk,2026-W16,2,0.75,1
Karagumruk,2026-W17,1,0.0,0
Kasimpasa,2025-W40,3,0.375,2
Kasimpasa,2025-W44,1,0.75,1
Kasimpasa,2025-W45,1,0.5,1
Kasimpasa,2025-W47,1,0.0,0
Kasimpasa,2025-W48,2,0.5,2
Kasimpasa,2025-W49,25,0.85,20
Kasimpasa,2025-W50,2,1.0,1
Kasimpasa,2025-W51,1,0.75,1
Kasimpasa,2025-W52,2,0.25,2
Kasimpasa,2026-W01,1,0.0,0
Kasimpasa,2026-W02,2,0.0,0
Kasimpasa,2026-W03,5,0.4167,3
Kasimpasa,2026-W04,2,0.0,1
Kasimpasa,2026-W05,5,0.85,5
Kasimpasa,2026-W06,2,0.0,0
Kasimpasa,2026-W07,2,0.625,2
Kasimpasa,2026-W08,2,0.0,0
Kasimpasa,2026-W09,18,0.4333,15
Kasimpasa,2026-W10,6,0.5,4
Kasimpasa,2026-W12,2,0.0,0
Kasimpasa,2026-W14,1,0.0,0
Kasimpasa,2026-W16,2,0.0,0
Kayserispor,2025-W28,1,0.0,0
Kayserispor,2025-W33,1,0.0,0
Kayserispor,2025-W35,1,0.0,0
Kayserispor,2025-W37,1,0.0,1
Kayserispor,2025-W39,4,0.5,2
Kayserispor,2025-W40,2,0.75,2
Kayserispor,2025-W41,25,0.5,10
Kayserispor,2025-W42,7,0.375,2
Kayserispor,2025-W43,1,0.75,1
Kayserispor,2025-W48,12,0.8333,9
Kayserispor,2025-W49,1,1.0,1
Kayserispor,2026-W03,3,0.0,0
Kayserispor,2026-W04,3,0.75,2
Kayserispor,2026-W05,4,0.875,4
Kayserispor,2026-W06,1,1.0,1
Kayserispor,2026-W07,24,0.5833,24
Kayserispor,2026-W08,2,0.375,2
Kayserispor,2026-W09,37,0.5833,18
Kayserispor,2026-W10,2,0.25,1
Kayserispor,2026-W11,4,0.6667,3
Kayserispor,2026-W12,2,0.0,0
Kayserispor,2026-W14,3,0.5833,3
Kayserispor,2026-W15,3,0.5,3
Kayserispor,2026-W16,1,1.0,1
Kayserispor,2026-W17,2,0.75,1
Kocaelispor,2025-W34,1,0.0,0
Kocaelispor,2025-W35,2,0.375,2
Kocaelispor,2025-W38,1,0.0,0
Kocaelispor,2025-W39,1,0.5,1
Kocaelispor,2025-W40,1,0.5,1
Kocaelispor,2025-W41,2,1.0,1
Kocaelispor,2025-W42,4,0.0,0
Kocaelispor,2025-W44,1,0.0,0
Kocaelispor,2025-W45,5,1.0,2
Kocaelispor,2025-W47,3,0.1667,3
Kocaelispor,2025-W48,1,0.75,1
Kocaelispor,2025-W49,3,0.75,2
Kocaelispor,2025-W50,1,0.0,0
Kocaelispor,2025-W51,3,0.0,1
Kocaelispor,2025-W52,2,0.0,0
Kocaelispor,2026-W01,2,1.0,1
Kocaelispor,2026-W03,1,0.0,0
Kocaelispor,2026-W04,2,0.0,1
Kocaelispor,2026-W05,4,0.25,3
Kocaelispor,2026-W06,3,0.75,2
Kocaelispor,2026-W07,5,0.0,0
Kocaelispor,2026-W08,1,0.5,1
Kocaelispor,2026-W09,5,0.5833,3
Kocaelispor,2026-W10,2,0.75,2
Kocaelispor,2026-W11,9,0.5417,6
Kocaelispor,2026-W12,1,0.0,0
Kocaelispor,2026-W13,1,0.0,1
Kocaelispor,2026-W14,32,0.75,5
Kocaelispor,2026-W15,13,0.0,0
Kocaelispor,2026-W16,9,0.8333,3
Konyaspor,2025-W27,1,1.0,1
Konyaspor,2025-W39,4,0.875,2
Konyaspor,2025-W40,1,0.0,0
Konyaspor,2025-W42,3,0.75,2
Konyaspor,2025-W43,9,0.7857,7
Konyaspor,2025-W44,4,0.9167,3
Konyaspor,2025-W45,34,0.7375,20
Konyaspor,2025-W48,4,1.0,3
Konyaspor,2025-W49,3,0.0,1
Konyaspor,2025-W51,5,0.75,5
Konyaspor,2026-W01,1,0.0,0
Konyaspor,2026-W02,2,0.875,2
Konyaspor,2026-W03,1,1.0,1
Konyaspor,2026-W04,5,0.65,5
Konyaspor,2026-W05,9,0.75,6
Konyaspor,2026-W06,35,0.8068,22
Konyaspor,2026-W08,7,0.625,2
Konyaspor,2026-W10,1,1.0,1
Konyaspor,2026-W11,1,0.0,0
Konyaspor,2026-W13,4,0.0,0
Konyaspor,2026-W14,3,0.75,2
Konyaspor,2026-W15,1,0.0,0
Konyaspor,2026-W16,3,0.0,0
Rizespor,2025-W28,1,0.75,1
Rizespor,2025-W32,1,0.0,0
Rizespor,2025-W35,1,0.0,0
Rizespor,2025-W39,1,0.0,0
Rizespor,2025-W40,3,0.5833,3
Rizespor,2025-W42,1,0.5,1
Rizespor,2025-W48,28,0.83,25
Rizespor,2025-W49,24,0.0,4
Rizespor,2025-W50,1,0.0,1
Rizespor,2025-W51,3,0.75,2
Rizespor,2025-W52,1,1.0,1
Rizespor,2026-W01,2,0.25,2
Rizespor,2026-W03,1,0.0,0
Rizespor,2026-W04,1,0.75,1
Rizespor,2026-W05,3,0.0,0
Rizespor,2026-W06,4,0.0,1
Rizespor,2026-W07,2,0.5,1
Rizespor,2026-W08,1,0.0,0
Rizespor,2026-W09,3,0.5,2
Rizespor,2026-W10,2,0.5,1
Rizespor,2026-W11,2,0.0,0
Rizespor,2026-W16,11,0.8571,7
Rizespor,2026-W17,1,0.0,0
Samsunspor,2025-W35,1,0.0,0
Samsunspor,2025-W36,1,0.0,0
Samsunspor,2025-W40,1,0.0,0
Samsunspor,2025-W41,1,1.0,1
Samsunspor,2025-W43,7,0.6667,3
Samsunspor,2025-W45,2,0.0,0
Samsunspor,2025-W46,4,0.5625,4
Samsunspor,2025-W47,2,0.75,1
Samsunspor,2025-W48,1,0.0,0
Samsunspor,2025-W49,3,0.75,3
Samsunspor,2025-W50,3,0.0,1
Samsunspor,2025-W51,1,0.0,0
Samsunspor,2025-W52,2,0.5,2
Samsunspor,2026-W02,3,0.5,2
Samsunspor,2026-W04,1,0.5,1
Samsunspor,2026-W05,2,0.75,2
Samsunspor,2026-W07,47,0.8021,24
Samsunspor,2026-W08,14,0.6,5
Samsunspor,2026-W09,11,0.6389,9
Samsunspor,2026-W10,6,0.7,5
Samsunspor,2026-W11,6,0.75,2
Samsunspor,2026-W12,4,1.0,1
Samsunspor,2026-W13,5,0.1875,4
Samsunspor,2026-W14,2,0.5,1
Samsunspor,2026-W15,3,0.3333,3
Samsunspor,2026-W16,1,0.75,1
Samsunspor,2026-W17,1,0.0,0
Trabzonspor,2025-W27,1,0.0,1
Trabzonspor,2025-W28,1,0.5,1
Trabzonspor,2025-W32,1,0.0,0
Trabzonspor,2025-W33,1,0.5,1
Trabzonspor,2025-W34,1,0.0,0
Trabzonspor,2025-W35,1,0.0,0
Trabzonspor,2025-W36,4,0.875,4
Trabzonspor,2025-W40,2,1.0,2
Trabzonspor,2025-W43,1,0.0,0
Trabzonspor,2025-W44,2,0.5,1
Trabzonspor,2025-W45,3,0.0,2
Trabzonspor,2025-W46,1,0.0,0
Trabzonspor,2025-W48,2,0.0,2
Trabzonspor,2025-W49,2,0.5,1
Trabzonspor,2025-W50,3,0.0,0
Trabzonspor,2025-W51,2,0.5,1
Trabzonspor,2025-W52,2,0.5,1
Trabzonspor,2026-W01,1,0.0,0
Trabzonspor,2026-W02,4,0.25,2
Trabzonspor,2026-W03,3,0.3333,3
Trabzonspor,2026-W04,8,1.0,1
Trabzonspor,2026-W05,1,0.5,1
Trabzonspor,2026-W06,3,0.75,1
Trabzonspor,2026-W07,4,0.0,2
Trabzonspor,2026-W08,3,0.75,1
Trabzonspor,2026-W09,2,0.0,0
Trabzonspor,2026-W10,1,0.0,1
Trabzonspor,2026-W11,11,0.75,2
Trabzonspor,2026-W14,7,0.5,1
Trabzonspor,2026-W15,2,0.0,0
Trabzonspor,2026-W16,7,0.5625,4
Trabzonspor,2026-W17,4,0.625,2
